Instance,Algorithm,Time(s),Cost,Success,Error,Dimension
a280.tsp,Christofides,1.0417,2975.114776582676,True,,280
a280.tsp,Twice-Around-the-Tree,0.5897,3629.7203051092397,True,,280
a280.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
berlin52.tsp,Christofides,0.4906,8594.034943788782,True,,52
berlin52.tsp,Twice-Around-the-Tree,0.4418,10116.014495510826,True,,52
berlin52.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
bier127.tsp,Christofides,0.6346,132456.24599032826,True,,127
bier127.tsp,Twice-Around-the-Tree,0.5112,158637.60615918832,True,,127
bier127.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
ch130.tsp,Christofides,0.5818,6752.275865213126,True,,130
ch130.tsp,Twice-Around-the-Tree,0.5109,8128.757281130948,True,,130
ch130.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
ch150.tsp,Christofides,0.6045,7112.036891270508,True,,150
ch150.tsp,Twice-Around-the-Tree,0.4837,8333.472170089168,True,,150
ch150.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
d1291.tsp,Christofides,10.0981,57930.365110023486,True,,1291
d1291.tsp,Twice-Around-the-Tree,3.7829,74658.29731002661,True,,1291
d1291.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
d1655.tsp,Christofides,44.6148,70542.33671413544,True,,1655
d1655.tsp,Twice-Around-the-Tree,6.3872,85681.0784168341,True,,1655
d1655.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
d198.tsp,Christofides,0.7425,17316.366440499645,True,,198
d198.tsp,Twice-Around-the-Tree,0.5139,19218.43305436619,True,,198
d198.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
d2103.tsp,Christofides,11.9022,84509.81497317906,True,,2103
d2103.tsp,Twice-Around-the-Tree,10.438,124533.87160392563,True,,2103
d2103.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
d493.tsp,Christofides,4.0475,38393.63634401193,True,,493
d493.tsp,Twice-Around-the-Tree,0.8781,45427.08884703529,True,,493
d493.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
d657.tsp,Christofides,9.2687,54738.296289833816,True,,657
d657.tsp,Twice-Around-the-Tree,1.233,65730.19370040316,True,,657
d657.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
eil101.tsp,Christofides,0.5589,722.9974255765957,True,,101
eil101.tsp,Twice-Around-the-Tree,0.4627,830.5422075548881,True,,101
eil101.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
eil51.tsp,Christofides,0.4669,486.82490388532386,True,,51
eil51.tsp,Twice-Around-the-Tree,0.441,640.9012229251007,True,,51
eil51.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
eil76.tsp,Christofides,0.4744,623.0579978735639,True,,76
eil76.tsp,Twice-Around-the-Tree,0.4549,707.1533198611806,True,,76
eil76.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
fl1400.tsp,Christofides,107.2302,22834.353425479138,True,,1400
fl1400.tsp,Twice-Around-the-Tree,4.3426,27915.52347719665,True,,1400
fl1400.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
fl1577.tsp,Christofides,24.0997,24515.854228438227,True,,1577
fl1577.tsp,Twice-Around-the-Tree,5.4813,31223.096666973648,True,,1577
fl1577.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
fl417.tsp,Christofides,1.6547,13424.734306822817,True,,417
fl417.tsp,Twice-Around-the-Tree,0.729,16297.174640391935,True,,417
fl417.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
gil262.tsp,Christofides,1.1869,2695.15432713288,True,,262
gil262.tsp,Twice-Around-the-Tree,0.5627,3358.1541767582894,True,,262
gil262.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
kroA100.tsp,Christofides,0.5066,23292.98465639025,True,,100
kroA100.tsp,Twice-Around-the-Tree,0.455,27211.67972921635,True,,100
kroA100.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
kroA150.tsp,Christofides,0.7002,29688.31634111598,True,,150
kroA150.tsp,Twice-Around-the-Tree,0.4874,35122.56680105931,True,,150
kroA150.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
kroA200.tsp,Christofides,0.8893,33602.85852107668,True,,200
kroA200.tsp,Twice-Around-the-Tree,0.5073,40030.86635119212,True,,200
kroA200.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
kroB100.tsp,Christofides,0.5108,24009.194442252865,True,,100
kroB100.tsp,Twice-Around-the-Tree,0.4629,25881.199893685625,True,,100
kroB100.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
kroB150.tsp,Christofides,0.7282,30054.38749397736,True,,150
kroB150.tsp,Twice-Around-the-Tree,0.4767,36154.73394030785,True,,150
kroB150.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
kroB200.tsp,Christofides,0.776,33118.12196028457,True,,200
kroB200.tsp,Twice-Around-the-Tree,0.5557,40710.95987899587,True,,200
kroB200.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
kroC100.tsp,Christofides,0.5041,23469.130952131818,True,,100
kroC100.tsp,Twice-Around-the-Tree,0.461,27966.54136375163,True,,100
kroC100.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
